-181.108, 75.353, 1.800,  4.075
-181.108, 75.292, 1.807,  4.108
-181.109, 75.230, 1.814,  4.141
-181.111, 75.168, 1.821,  4.174
-181.112, 75.106, 1.827,  4.207
-181.114, 75.044, 1.834,  4.240
-181.116, 74.982, 1.840,  4.273
-181.119, 74.919, 1.847,  4.306
-181.121, 74.857, 1.853,  4.339
-181.124, 74.794, 1.860,  4.372
-181.127, 74.731, 1.866,  4.405
-181.131, 74.668, 1.873,  4.438
-181.134, 74.605, 1.879,  4.471
-181.138, 74.541, 1.886,  4.504
-181.142, 74.478, 1.892,  4.537
-181.146, 74.414, 1.899,  4.570
-181.150, 74.350, 1.905,  4.603
-181.154, 74.286, 1.912,  4.636
-181.158, 74.222, 1.918,  4.669
-181.163, 74.157, 1.924,  4.702
-181.167, 74.093, 1.931,  4.735
-181.172, 74.028, 1.937,  4.768
-181.176, 73.963, 1.944,  4.801
-181.181, 73.898, 1.950,  4.834
-181.186, 73.832, 1.957,  4.867
-181.191, 73.767, 1.963,  4.900
-181.196, 73.701, 1.970,  4.933
-181.201, 73.635, 1.976,  4.966
-181.206, 73.569, 1.983,  4.999
-181.211, 73.503, 1.990,  5.032
-181.216, 73.437, 1.996,  5.065
-181.221, 73.370, 2.003,  5.098
-181.225, 73.303, 2.009,  5.131
-181.230, 73.236, 2.016,  5.164
-181.235, 73.169, 2.023,  5.197
-181.240, 73.101, 2.029,  5.230
-181.245, 73.033, 2.036,  5.263
-181.250, 72.965, 2.043,  5.296
-181.254, 72.897, 2.050,  5.329
-181.259, 72.829, 2.056,  5.362
-181.264, 72.760, 2.063,  5.395
-181.268, 72.691, 2.070,  5.428
-181.273, 72.622, 2.077,  5.461
-181.277, 72.553, 2.084,  5.494
-181.281, 72.483, 2.091,  5.527
-181.285, 72.414, 2.098,  5.560
-181.290, 72.344, 2.105,  5.593
-181.294, 72.273, 2.112,  5.626
-181.298, 72.203, 2.119,  5.659
-181.301, 72.132, 2.126,  5.692
-181.305, 72.061, 2.133,  5.725
-181.309, 71.990, 2.140,  5.758
-181.312, 71.919, 2.147,  5.791
-181.316, 71.847, 2.155,  5.824
-181.319, 71.775, 2.162,  5.857
-181.323, 71.703, 2.169,  5.890
-181.326, 71.630, 2.176,  5.923
-181.329, 71.558, 2.184,  5.956
-181.332, 71.485, 2.191,  5.989
-181.335, 71.412, 2.198,  6.022
-181.337, 71.338, 2.206,  6.055
-181.340, 71.265, 2.213,  6.088
-181.343, 71.191, 2.220,  6.121
-181.345, 71.117, 2.228,  6.154
-181.347, 71.042, 2.235,  6.187
-181.350, 70.968, 2.243,  6.220
-181.352, 70.893, 2.251,  6.253
-181.354, 70.817, 2.258,  6.286
-181.356, 70.742, 2.266,  6.319
-181.358, 70.666, 2.273,  6.352
-181.360, 70.590, 2.281,  6.385
-181.362, 70.514, 2.289,  6.418
-181.363, 70.438, 2.296,  6.451
-181.365, 70.361, 2.304,  6.484
-181.366, 70.284, 2.312,  6.517
-181.368, 70.207, 2.319,  6.550
-181.369, 70.129, 2.327,  6.583
-181.370, 70.051, 2.335,  6.616
-181.371, 69.973, 2.343,  6.649
-181.373, 69.895, 2.350,  6.682
-181.374, 69.817, 2.358,  6.715
-181.375, 69.738, 2.366,  6.748
-181.375, 69.659, 2.374,  6.781
-181.376, 69.579, 2.382,  6.814
-181.377, 69.500, 2.390,  6.847
-181.378, 69.420, 2.398,  6.880
-181.378, 69.340, 2.406,  6.913
-181.379, 69.259, 2.414,  6.946
-181.380, 69.179, 2.422,  6.979
-181.380, 69.098, 2.430,  7.012
-181.380, 69.016, 2.438,  7.045
-181.381, 68.935, 2.446,  7.078
-181.381, 68.853, 2.454,  7.111
-181.382, 68.771, 2.463,  7.144
-181.382, 68.689, 2.471,  7.177
-181.382, 68.606, 2.479,  7.210
-181.382, 68.524, 2.487,  7.243
-181.382, 68.440, 2.495,  7.276
-181.382, 68.357, 2.504,  7.309
-181.383, 68.273, 2.512,  7.342
-181.383, 68.189, 2.520,  7.375
-181.383, 68.105, 2.529,  7.408
-181.383, 68.021, 2.537,  7.441
-181.383, 67.936, 2.545,  7.474
-181.383, 67.851, 2.554,  7.507
-181.383, 67.766, 2.562,  7.540
-181.382, 67.680, 2.571,  7.573
